State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Fnl_Snpsht,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt ,BHP_New_Enrl,BHP_Renrl ,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
MT,HC.gov,"38,976","59,489","50,863","40,446","9,092","43,822","8,544","35,278","24,943","10,335","8,295","16,648",770,"3,128","3,268","3,394","2,446","5,620","11,117","14,079",$572 ,$173 ,"36,461","12,593","1,886","5,995","3,477","1,235","35,994",$486 ,$101 ,"4,033","3,036","7,356","7,432","7,268","14,537",160,"20,761","23,061","1,202",536,26,71,"35,199",303,867,"5,618",959,"39,216","3,647","32,477","11,345",239,"27,553","13,260","2,770",+,"3,879","4,495","9,905","8,088","6,788","9,081","1,586","8,586",936,569,"1,660","1,598","1,405","2,381",37,+,+,+,+,+,+,+,+,+,+,+
NC,HC.gov,"411,585","608,333","580,224","487,457","28,612","505,275","125,635","379,640","262,660","116,980","111,500","151,160","10,178","43,767","41,968","39,558","26,679","60,212","119,529","163,384",$660 ,$116 ,"454,082","275,100","30,413","76,531","167,262",894,"453,411",$606 ,$69 ,"47,922","52,116","82,583","84,258","101,244","133,193","3,959","221,383","283,892","2,239","26,834",179,"50,048","263,932","7,620","8,237","146,186","28,706","379,621","96,948","129,791","375,484","7,092","154,097","295,585","48,501",+,"19,269","188,194","100,468","78,489","47,759","55,707","15,389","75,334","2,538","6,789","17,847","15,890","15,154","16,460",656,+,+,+,+,+,+,+,+,+,+,+
ND,HC.gov,"14,895","26,763","24,622","20,240","2,371","21,666","3,997","17,669","12,377","5,292","5,322","7,055",306,"1,449","1,505","1,631","1,266","2,812","5,719","6,978",$453 ,$184 ,"18,090","7,867","1,375","4,060","1,764",668,"17,990",$323 ,$140 ,"5,267","1,682","3,384","3,131","2,783","5,326",93,"10,544","11,122",632,566,12,391,"16,087",119,400,"3,459",477,"18,517","2,672","13,796","7,870",366,"8,901","8,311","4,088",+,"1,503","2,170","5,999","4,677","2,929","3,580",808,"1,984",174,153,565,372,307,399,14,+,+,+,+,+,+,+,+,+,+,+
NE,HC.gov,"65,600","109,477","103,144","89,529","6,431","90,845","18,061","72,784","55,325","17,459","27,148","28,177","1,478","7,572","7,991","8,573","6,000","12,641","22,895","23,695",$765 ,$107 ,"84,113","26,757","1,714","8,010","16,430",603,"84,009",$711 ,$59 ,"14,431","9,427","15,191","15,011","14,002","22,344",439,"43,215","47,630",547,"2,411",37,"1,586","62,650",845,"1,299","21,470","4,922","69,744","16,179","47,417","43,428",603,"36,229","28,356","25,657",+,"2,403","22,457","16,347","18,401","12,609","16,735","1,893","10,698","1,901","1,009","2,280","2,068","1,556","1,835",49,+,+,+,+,+,+,+,+,+,+,+
NH,HC.gov,"39,198","56,677","51,424","34,863","5,695","44,412","9,509","34,903","23,344","11,559","6,485","16,859",894,"3,531","3,426","3,297","2,384","5,089","10,599","15,192",$529 ,$238 ,"31,045","15,657","4,208","7,141","4,283",25,"30,949",$418 ,$138 ,"3,462","3,401","7,045","6,200","8,442","15,602",260,"20,668","23,744",41,"1,613",16,264,"30,974",493,548,"10,463","1,139","36,046","7,227","19,059","25,353",872,"18,195","22,815","2,530",+,"8,926","4,677","8,830","7,242","4,774","7,879","2,084","7,554",692,557,"1,612","1,288","1,357","1,983",65,+,+,+,+,+,+,+,+,+,+,+
NJ,HC.gov,"228,874","341,774","294,395","211,939","50,752","246,426","62,419","184,007","127,627","56,380","31,011","96,616","5,668","20,040","19,171","17,687","14,145","29,769","60,575","79,371",$554 ,$241 ,"185,517","113,719","28,179","49,674","35,809",57,"184,542",$419 ,$162 ,"18,167","21,625","39,471","36,574","50,688","74,924","4,977","114,063","132,363",213,"36,158",159,"12,606","127,292","9,931","4,731","55,336","34,307","180,925","31,194","1,777","244,649","1,948","61,525","178,914","4,039",+,"33,462","35,545","59,833","40,945","25,093","34,472","17,076","59,712","5,447","5,070","12,011","10,235","11,922","14,000","1,027",+,+,+,+,+,+,+,+,+,+,+
NM,HC.gov,"39,365","55,978","50,359","37,146","6,148","42,714","9,918","32,796","22,746","10,050","7,967","14,779",818,"3,598","3,409","3,452","2,316","5,134","10,217","13,770",$476 ,$195 ,"32,340","14,424","1,950","6,984","4,919",571,"32,159",$374 ,$121 ,"3,336","2,763","5,232","5,929","8,271","16,517",666,"19,247","23,467",580,"1,796",30,384,"23,881","1,796",947,"13,300","13,828","23,003","5,883","13,362","29,352",49,"14,748","15,623","12,294",+,"6,137","5,362","10,317","7,594","5,333","5,706","2,265","9,611",770,559,"1,670","1,693","1,752","3,030",137,+,+,+,+,+,+,+,+,+,+,+
NV,SBE,"42,115","88,408","88,092","66,293","9,893","77,410","20,111","57,299","25,587","31,712",NR,NR,"57,778",875,"2,006","1,646","1,123","2,544","7,272","4,166",NR,NR,"61,950","32,047",NR,NR,NR,NR,"61,669",NR,NR,"11,439","5,729","11,097","11,762","13,999","21,761","1,609","35,609","41,801",277,"13,267",110,"1,428","32,967",NR,0,"19,681","9,680",NR,"19,681",NR,NR,775,"30,963","42,576","3,096",+,NR,NR,NR,NR,NR,NR,NR,"15,273","2,617","1,091","2,535","2,579","2,562","3,428",461,+,+,+,+,+,+,+,+,+,+,+
NY,SBE,"1,476,395","2,623,539","505,822","230,415",NR,"272,948","63,442","209,506","92,518","116,988",NR,NR,554,"1,990","15,214","147,032","10,473","22,200","39,683","35,802",$643 ,$226 ,"159,152","68,551",NR,NR,NR,NR,"159,152",$345 ,NR,"9,778","22,290","51,435","45,692","56,764","84,633","2,356","132,315","140,633",1098,"28,073",452,"18,846","166,184",NR,NR,"54,258","28,682",NR,"54,258",NR,NR,"4,646","115,615","100,205","31,044","21,438",NR,372,617,"67,484","43,804","46,750","113,921","26,260",933,"2,287","6,492","5,080","5,136","6,192",140,"796,998","96,926","700,072",0,"114,899","182,217","182,513","171,008","146,361","349,539","447,459"
OH,HC.gov,"179,545","268,083","237,757","170,100","32,441","196,806","47,919","148,887","100,110","48,777","45,447","54,663","3,529","13,646","14,110","13,625","10,100","24,040","50,681","67,075",$522 ,$230 ,"147,784","64,039","15,895","29,227","18,794",123,"147,231",$389 ,$149 ,"23,268","13,725","28,325","26,421","33,088","70,620","1,359","90,107","106,699",218,"9,515",61,"8,378","130,038","1,812","2,962","43,822","4,249","161,432","31,125","42,386","154,420","2,066","101,339","83,834","9,567",+,"32,577","23,920","43,389","40,286","24,206","25,622","6,806","26,652","3,132","1,676","5,161","4,676","4,554","7,141",312,+,+,+,+,+,+,+,+,+,+,+
OK,HC.gov,"121,242","190,046","181,337","156,228","8,884","158,642","31,210","127,432","79,718","47,714","35,178","44,540","2,744","11,384","11,112","11,488","8,365","18,240","33,149","62,160",$644 ,$108 ,"145,343","90,311","7,925","19,077","40,360","22,949","142,984",$594 ,$54 ,"19,820","17,144","26,145","27,671","27,894","38,872","1,096","70,422","88,220","19,778","7,487",146,"5,294","76,262","1,825","7,145","40,705","9,739","113,525","35,378","62,174","96,468",580,"55,609","76,953","25,500",+,"4,269","54,827","33,168","29,511","17,304","15,182","4,381","31,658","5,425","3,001","5,800","5,852","4,852","6,570",158,+,+,+,+,+,+,+,+,+,+,+
OR,HC.gov,"132,108","192,070","167,596","118,426","26,599","145,264","32,744","112,520","82,214","30,306","30,030","52,184","3,327","12,223","12,021","11,448","8,226","18,558","35,900","43,561",$558 ,$231 ,"104,839","45,223","10,154","21,764","12,321",984,"104,099",$456 ,$137 ,"11,686","10,140","23,952","25,560","26,837","45,696","1,393","64,631","80,633",807,"10,049","1,078","1,264","96,322","1,990","4,450","29,304","8,253","119,188","17,823","30,922","114,342",756,"62,350","63,826","18,332",+,"24,228","13,021","30,933","24,552","17,446","26,545","8,539","31,429","2,295","2,238","7,419","6,787","5,466","6,997",227,+,+,+,+,+,+,+,+,+,+,+
PA,HC.gov,"305,375","434,997","387,624","308,809","53,678","331,825","68,509","263,316","180,790","82,526","79,272","101,518","6,388","25,245","25,698","25,787","19,359","39,682","78,491","111,175",$648 ,$213 ,"279,543","141,015","24,470","64,710","51,682",153,"278,956",$517 ,$151 ,"16,705","24,734","52,709","51,366","65,281","118,056","2,974","153,454","178,371",256,"26,983",119,"14,399","216,278","4,732","4,420","64,638","13,325","273,225","45,275","43,098","288,727","1,625","90,613","175,650","63,624",313,"27,966","57,607","87,323","60,335","37,686","49,063","11,845","64,253","1,361","4,927","14,340","12,238","12,527","18,135",725,+,+,+,+,+,+,+,+,+,+,+
RI,SBE,"56,688","98,017","57,115","28,413","16,098","34,634","6,267","28,367","2,707","25,660",NR,NR,"29,885",300,337,292,303,444,731,"2,342",$435 ,$180 ,"27,986","14,403",NR,NR,NR,NR,"27,735",$326 ,$123 ,"1,731","3,269","6,152","6,165","7,040","9,647",630,"15,559","19,070",*,816,*,"1,231","15,269",NR,172,"13,987","3,082",NR,"13,987",NR,NR,+,"8,225","15,509","10,804",96,NR,"6,524","9,517","5,693","3,657","3,640","5,603","16,937",765,"1,637","3,392","3,104","3,198","4,255",586,+,+,+,+,+,+,+,+,+,+,+
SC,HC.gov,"178,222","258,072","245,884","207,003","12,375","214,030","58,340","155,690","113,053","42,637","41,971","71,082","4,026","19,444","18,694","19,391","11,874","26,065","53,264","61,272",$613 ,$124 ,"192,508","91,126","8,514","23,995","58,365",252,"192,354",$543 ,$79 ,"18,908","21,062","33,486","33,563","43,022","62,654","1,335","93,509","120,521",354,"8,787",75,"23,922","104,786","2,161","2,675","71,270","7,274","153,265","53,491","39,471","174,559","1,914","96,888","100,292","14,936",+,"8,529","77,447","40,962","34,991","21,847","24,147","6,107","27,020","2,621","2,434","5,795","5,126","4,954","5,953",137,+,+,+,+,+,+,+,+,+,+,+
SD,HC.gov,"22,690","36,559","34,087","29,396","2,562","29,331","5,949","23,382","18,505","4,877","5,201","13,304",583,"2,551","2,550","2,548","1,924","3,969","8,008","7,198",$687 ,$136 ,"26,967","13,342","2,357","3,802","6,399",784,"26,832",$602 ,$95 ,"4,549","2,623","5,124","4,865","4,263","7,821",86,"13,846","15,485",629,579,11,171,"24,028",204,583,"3,126",741,"26,362","2,228","19,358","9,973",376,"13,322","14,719",914,+,772,"7,721","5,822","6,043","3,843","4,275",855,"2,801",61,272,730,632,496,597,13,+,+,+,+,+,+,+,+,+,+,+
TN,HC.gov,"190,265","276,223","246,089","189,949","30,623","200,445","49,460","150,985","104,520","46,465","46,228","58,292","4,603","16,706","15,857","14,612","10,442","23,849","48,339","66,037",$641 ,$145 ,"171,728","98,807","13,177","30,114","55,176",340,"171,489",$580 ,$77 ,"11,940","16,842","33,563","31,634","40,925","63,923","1,618","91,609","108,836",350,"9,873",68,"15,360","127,404","2,292","3,098","42,000","6,371","163,031","31,043","57,393","143,052",620,"79,179","118,181","2,465",+,"13,898","66,953","43,708","27,959","19,796","20,006","8,125","39,951","1,554","3,599","9,413","7,681","7,708","9,715",281,+,+,+,+,+,+,+,+,+,+,+
TX,HC.gov,"849,795","1,383,989","1,309,923","1,079,621","74,346","1,116,293","325,050","791,243","576,123","215,120","224,320","351,803","22,067","104,605","102,495","97,783","73,486","138,033","251,659","326,165",$532 ,$115 ,"990,077","639,376","47,695","134,597","453,765","3,319","988,190",$470 ,$69 ,"125,105","131,670","157,057","174,563","225,470","277,769","24,659","494,267","622,026","3,408","146,022",554,"56,392","405,065","32,202","19,845","452,805","295,701","539,388","281,204","140,204","976,089","6,128","360,655","685,852","63,658",+,"58,600","516,566","204,044","144,792","74,113","70,012","48,166","188,737","27,260","18,958","32,931","32,699","34,110","40,105","2,674",+,+,+,+,+,+,+,+,+,+,+
UT,HC.gov,"117,354","241,513","223,216","194,340","19,829","200,261","40,547","159,714","125,147","34,567","73,219","51,928","3,951","18,885","19,914","19,340","12,349","25,766","49,099","50,957",$425 ,$93 ,"180,922","94,873","10,742","25,317","57,440","1,374","180,650",$368 ,$62 ,"54,399","23,755","36,216","33,123","23,685","28,156",927,"95,818","104,443","1,227","5,920",601,977,"111,917","2,536","3,336","73,747","14,682","132,071","53,508","31,872","168,389",577,"97,205","100,585","1,894",+,"9,845","61,296","36,804","38,179","22,916","25,356","5,865","31,706","7,333","3,399","7,873","5,977","3,686","3,329",109,+,+,+,+,+,+,+,+,+,+,+
VA,HC.gov,"231,923","363,564","312,050","246,575","57,544","269,474","59,725","209,749","144,078","65,671","67,083","76,995","5,164","20,902","21,411","19,728","14,885","33,161","64,518","89,705",$641 ,$174 ,"226,652","104,261","14,673","43,563","45,733",292,"226,304",$556 ,$94 ,"33,288","24,873","40,198","40,959","50,729","73,640","5,787","123,227","146,247",475,"43,954",154,"25,227","131,959","7,434","6,681","53,590","20,768","214,662","34,044","35,600","233,874","2,000","102,272","117,620","46,506","1,076","22,481","55,267","63,995","53,126","31,437","33,032","10,136","51,933","4,861","4,680","10,048","9,269","9,704","12,411",960,+,+,+,+,+,+,+,+,+,+,+
VT,SBE,"35,475","56,454","35,622","25,207","20,829","27,335","3,790","23,545","1,733","21,812",NR,NR,"24,808",589,74,132,117,341,411,863,"$1,034 ",$448 ,"21,724","9,319",NR,NR,NR,NR,"21,665",$738 ,$276 ,"1,089","2,436","4,492","4,519","5,442","9,160",197,"12,991","14,344",*,272,*,77,"12,394",NR,0,"14,544",235,NR,"14,544",NR,NR,259,"7,087","12,486","5,773","1,730",NR,"2,426","7,104","5,551","4,012","4,253","4,000","2,219",138,169,334,354,417,642,165,+,+,+,+,+,+,+,+,+,+,+
WA,SBE,"482,089","987,788","285,527","167,594","568,373","212,188","48,825","163,363","35,405","127,958",NR,NR,"175,135","2,999","2,855","2,655","2,270","4,436","19,334","2,504",$528 ,$283 ,"127,920","64,059",NR,NR,NR,NR,"127,385",$408 ,$148 ,"15,825","16,760","35,804","35,805","39,895","64,866","3,233","95,589","116,592","1,526","23,421","4,944","4,061","98,746",NR,753,"80,303","10,132",NR,"80,303",NR,NR,"3,334","91,210","94,197","23,447",+,NR,"19,204","43,896","28,833","19,671","27,256","73,328","56,228","11,926","4,671","11,557","9,411","8,401","9,563",699,+,+,+,+,+,+,+,+,+,+,+
WI,HC.gov,"173,407","239,472","222,726","181,622","18,219","195,498","36,721","158,777","118,115","40,662","48,476","69,639","4,045","17,557","18,329","17,948","11,849","25,021","46,321","54,428",$657 ,$173 ,"166,606","73,722","10,311","26,309","36,032","1,070","166,233",$569 ,$107 ,"11,097","14,273","29,269","28,447","33,977","77,494",941,"88,699","106,799",853,"6,381",42,"5,252","137,267","1,587","2,395","41,721","6,519","162,175","26,804","75,220","120,278","1,606","82,633","82,521","28,247",491,"17,510","43,494","39,834","31,144","21,040","36,982","5,494","31,587","1,914","2,425","7,116","5,791","5,554","8,563",224,+,+,+,+,+,+,+,+,+,+,+
WV,HC.gov,"21,071","29,784","25,456","20,046","4,572","20,066","4,247","15,819","10,574","5,245","3,618","6,956",411,"1,590","1,504","1,520",974,"2,345","4,867","6,855",$992 ,$285 ,"17,339","9,314","2,185","4,584","2,523",22,"17,315",$819 ,$190 ,"1,027","1,043","2,363","2,898","3,944","8,644",147,"8,722","11,344",*,513,*,304,"15,246",133,235,"3,613",314,"17,626","2,126","8,463","11,603",87,"6,650","12,428",901,+,"1,451","2,921","5,761","3,852","2,331","3,169",581,"3,193",81,162,493,588,635,"1,187",47,+,+,+,+,+,+,+,+,+,+,+
WY,HC.gov,"19,096","30,880","28,827","24,218","2,070","24,574","5,517","19,057","14,564","4,493","4,834","9,730",693,"2,433","2,104","2,155","1,455","3,318","5,949","6,467",$967 ,$128 ,"22,396","5,501",318,"1,482","3,464",237,"22,347",$923 ,$55 ,"3,776","2,092","4,383","3,989","3,568","6,670",96,"11,069","13,505",184,385,18,89,"18,989",290,524,"4,095","1,371","20,043","3,160","19,137","5,437",+,"4,683","5,679","14,212",+,790,"5,125","4,431","5,200","3,494","4,875",659,"4,217",188,371,"1,133",923,715,873,14,+,+,+,+,+,+,+,+,+,+,+
Total,HC.gov,"6,899,113","10,410,963","9,620,485","7,886,767","836,451","8,286,871","2,086,338","6,200,533","4,415,678","1,784,855","1,852,951","2,562,727","177,082","754,967","737,352","703,556","504,041","1,005,673","1,895,431","2,508,769",$595 ,$145 ,"7,221,736","4,332,303","456,941","1,202,758","2,628,486","44,118","7,205,225",$517 ,$89 ,"789,317","837,701","1,250,826","1,326,983","1,633,271","2,337,856","110,917","3,720,697","4,566,174","42,566","594,355","6,284","541,507","4,023,941","155,225","137,362","2,785,631","1,020,926","5,314,256","1,951,689","1,493,348","6,793,523","45,610","2,738,107","4,874,045","613,105","16,004","544,930","3,030,681","1,693,679","1,195,539","720,914","820,731","280,397","1,282,255","116,203","116,063","256,760","238,073","239,083","302,005","14,068",+,+,+,+,+,+,+,+,+,+,+
Total,SBE,NR,NR,NR,NR,NR,"3,122,576","759,478","2,363,098","857,968","1,505,130",NR,NR,"779,823","324,262","706,845","479,683","186,853","78,195","220,410","346,505",NR,NR,"2,396,165","1,230,996",NR,NR,NR,NR,"2,388,135",NR,NR,"226,996","289,352","550,215","501,013","618,589","896,589","39,808","1,465,531","1,656,473",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"43,334","1,031,221","1,632,686","329,705","85,630",NR,NR,NR,NR,NR,NR,NR,"473,359","40,442","41,676","105,946","82,936","83,551","106,049","12,759","880,198",NR,NR,"1,723","126,925","199,020","199,588","184,387","168,555","384,167","496,031"
Total,All,NR,NR,NR,NR,NR,"11,409,447","2,845,816","8,563,631","5,273,646","3,289,985",NR,NR,"956,905","1,079,229","1,444,197","1,183,239","690,894","1,083,868","2,115,841","2,855,274",NR,NR,"9,617,901","5,563,299",NR,NR,NR,NR,"9,593,360",NR,NR,"1,016,313","1,127,053","1,801,041","1,827,996","2,251,860","3,234,445","150,725","5,186,228","6,222,647",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"88,944","3,769,328","6,506,731","942,810","101,634",NR,NR,NR,NR,NR,NR,NR,"1,755,614","156,645","157,739","362,706","321,009","322,634","408,054","26,827","880,198",NR,NR,"1,723","126,925","199,020","199,588","184,387","168,555","384,167","496,031"
